Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,18.34,0,16.69,231.82
"CHICKEN,STEWING,MEAT&SKIN,&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,19.52,0.19,17.48,246.36
"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",Non-vegetarian,Meat products,19.98,0,14.72,238.7
"SAUCE,SOFRITO,PREP FROM RECIPE",Non-vegetarian,Miscellaneous,18.2,5.46,12.8,236.84
"SAUCE,NESTLE,CHEF-MATE GOLDEN CHS SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,18.07,3.65,10.65,219.83
"BEERWURST,BEER SALAMI,PORK",Non-vegetarian,Meat products,18.8,2.06,14.24,234.4
"BERLINER,PORK,BEEF",Non-vegetarian,Meat products,17.2,2.6,15.27,226.28
"BOLOGNA,PORK",Non-vegetarian,Meat products,19.87,0.73,15.3,242.95
"DUTCH BRAND LOAF,PORK,BF",Non-vegetarian,Meat products,17.82,5.57,13.42,236.34
"FRANKFURTER,CHICKENEN",Non-vegetarian,Meat products,19.48,6.79,12.93,254.2
"FRANKFURTER,TURKEY",Non-vegetarian,Meat products,17.7,1.49,14.28,222.38
"HAM,CHOPPED,CANNED",Non-vegetarian,Meat products,18.83,0.28,16.06,234.83
"HAM,CHOPPED,NOT CANNED",Non-vegetarian,Meat products,17.25,0,17.12,223.73
HAM AND CHEESE SPREAD,Non-vegetarian,Meat products,18.53,2.28,16.18,240.61
"PICNIC LOAF,PORK,BEEF",Non-vegetarian,Meat products,16.64,4.76,14.92,228.48
"OSCAR MAYER,HAM&CHS LOAF",Non-vegetarian,Meat products,17.7,3.5,14.1,229.7
"OSCAR MAYER,LUNCHEON LOAF (SPICED)",Non-vegetarian,Meat products,16.9,7,13.5,234.1
"OSCAR MAYER,OLD FASHIONED LOAF",Non-vegetarian,Meat products,16.3,8,13.1,231.1
"OSCAR MAYER,SALAMI (FOR BEER)",Non-vegetarian,Meat products,18.2,1.9,13.5,225.4
"LOUIS RICH,TURKEY BACON",Non-vegetarian,Meat products,19.4,1.8,15.4,243.4
"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",Non-vegetarian,Meat products,18.17,4.66,13.45,235.97
"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIESFROZEN,RAW",Non-vegetarian,Meat products,18.56,0,14.95,226.84
"PORK,FRSH,LEG (HAM),WHL,LN&FAT,RAW",Non-vegetarian,Meat products,18.87,0,17.43,239.55
"PORK,FRSH,SHLDR,WHL,LN&FAT,RAW",Non-vegetarian,Meat products,17.99,0,17.18,230.63
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Non-vegetarian,Meat products,17.2,0,16.3,220
"PORK,CURED,FEET,PICKLED",Non-vegetarian,Meat products,16.14,0.02,13.52,199.42
"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,RAW",Non-vegetarian,Meat products,18.71,0,16.99,236.35
"USDA COMMODITY,PORK,GROUND,FINE/COARSEFROZEN,RAW",Non-vegetarian,Meat products,17.18,0,15.41,216.26
