Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.08,0,21.39,113.28
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.65,0,23.2,107.65
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.24,0,23.09,103.52
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.42,0,20.59,113.14
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.81,0,20.13,114.81
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.91,0,19.65,113.79
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.54,0,21.97,119.74
"CHICKEN,ROASTING,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.7,0,20.33,105.62
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.63,0,22.2,103.47
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.61,0,18.74,107.45
"GUINEA HEN,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.47,0,20.64,104.79
"PHEASANT,RAW,MEAT ONLY",Non-vegetarian,Meat products,3.64,0,23.57,127.04
"PHEASANT,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.25,0,24.37,126.73
"QUAIL,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.99,0,22.59,117.27
"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.86,0,21.77,112.82
"TURKEY,GIZZARD,ALL CLASSES,RAW",Non-vegetarian,Meat products,3.7,0.62,19.1,112.18
"TURKEY,LIVER,ALL CLASSES,RAW",Non-vegetarian,Meat products,3.97,4.13,20.02,132.33
"TURKEY,ALL CLASSES,LT MEAT,RAW",Non-vegetarian,Meat products,1.56,0,23.56,108.28
"TURKEY,FRYER-ROASTERS,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.58,0,22.32,103.5
"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,3.81,0,23.09,126.65
"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,0.49,0,24.18,101.13
"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.67,0,20.46,105.87
"TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.51,0,20.66,114.23
"TURKEY,FRYER-ROASTERS,BREAST,MEAT&SKIN,RAW",Non-vegetarian,Meat products,2.65,0,23.76,118.89
"TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,0.65,0,24.6,104.25
"TURKEY,FRYER-ROASTERS,LEG,MEAT&SKIN,RAW",Non-vegetarian,Meat products,3.57,0,20.13,112.65
"TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.37,0,20.35,102.73
"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.12,0,22.49,100.04
"TURKEY,YOUNG HEN,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.18,0,21.76,115.66
"TURKEY,YOUNG HEN,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.66,0,23.64,109.5
"TURKEY,YOUNG TOM,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.7,0,21.72,111.18
"TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.57,0,23.43,107.85
"TURKEY BREAST,PRE-BASTED,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,3.46,0,22.16,119.78
"CHICKEN,CORNISH GAME HENS,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.33,0,20.04,110.13
"CHICKEN,CORNISH GAME HENS,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,3.87,0,23.3,128.03
TURKEY BREAST MEAT,Non-vegetarian,Meat products,1.58,0,22.5,104.22
"OSCAR MAYER,CHICKEN BREAST (HONEY GLAZED)",Non-vegetarian,Meat products,1.4,4.3,19.8,109
"OSCAR MAYER,CHICKEN BREAST (OVEN RSTD,FAT FREE)",Non-vegetarian,Meat products,0.6,1.7,18.3,85.4
"OSCAR MAYER,HONEY LOAF",Non-vegetarian,Meat products,3.4,3.8,18.4,119.4
"LOUIS RICH,CHICKEN BREAST CLASSIC BKD /GRILL (CARVING BOARD)",Non-vegetarian,Meat products,0.5,3.7,19.7,98.1
"LOUIS RICH,CHICKEN BREAST (OVEN RSTD DELUXE)",Non-vegetarian,Meat products,2,2.5,18.3,101.2
"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",Non-vegetarian,Meat products,0.8,4.5,19.3,102.4
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",Non-vegetarian,Meat products,0.7,1.9,19.1,90.3
"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",Non-vegetarian,Meat products,1,1.6,19.7,94.2
"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",Non-vegetarian,Meat products,0.8,2.2,19.3,93.2
"PORK,FRSH,LOIN,TENDERLOIN,LN,RAW",Non-vegetarian,Meat products,3.41,0,20.99,114.65
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Non-vegetarian,Meat products,3.65,2.47,21.39,128.29
"HORMEL,CURE 81 HAM",Non-vegetarian,Meat products,3.59,0.21,18.43,106.87
"HORMEL ALWAYS TENDER,PORK TENDERLOIN,TERIYAKI-FLAVORED",Non-vegetarian,Meat products,3.07,4.63,18.2,118.95
