Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"BABYFOOD,CEREAL,RICE,DRY",Vegetarian,Miscellaneous,4.9,77.6,7.1,382.9
"BABYFOOD,CEREAL,RICE,W/BANANAS,DRY",Vegetarian,Miscellaneous,4.2,79.9,8.7,392.2
"GRAVY,NESTLE,TRIO TURKEY GRAVY MIX,DRY",Non-vegetarian,Miscellaneous,4.34,72.05,8.57,361.54
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",vegetarian,Cereals,5.73,73.29,8.39,378.29
"CEREALS,OATS,INST,FORT,W/CINN&SPICE,DRY,(OATS)",vegetarian,Cereals,4.53,77.92,8.47,386.33
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/RAISINS",vegetarian,Cereals,5.9,80.3,8.4,407.9
"CEREALS READY TO EAT,HEALTHY CHOIC,KELLOGG'S ALMOND CRUNCH W/RAISINS",vegetarian,Cereals,4.66,78.6,8.7,391.14
"CEREALS READY TO EAT,GENERAL MILLS,SUN CRUNCHERS",vegetarian,Cereals,5.74,79.53,8.83,405.1
"CEREALS READY TO EAT,QK,LOFAT 100% NAT CRISPY WHOLEGRAIN W/RAISINS",vegetarian,Cereals,5.33,80.68,8.3,403.89
"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,DRY",vegetarian,Cereals,4.84,74.45,8.25,374.36
"CEREALS,QKR,OATMEAL,INST,POWR RANGRS FRUIT PUNCH FLAVOR,DRY",vegetarian,Cereals,5.12,76.53,8.87,387.68
"CEREALS,QUAKER,OATMEAL,INST,FRUIT&CRM VAR,DRY",vegetarian,Cereals,7.18,75.12,8.17,397.78
"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,DRY",vegetarian,Cereals,5.5,73.69,8.87,379.74
"CEREALS READY TO EAT,GENERAL MILLS,OATMEAL RAISIN CRISP",vegetarian,Cereals,4.45,79.46,7.91,389.53
"CEREALS READY TO EAT,GENERAL MILLS,BASIC 4",vegetarian,Cereals,5.16,76.3,7.6,382.04
"CEREALS READY TO EAT,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",vegetarian,Cereals,5.38,79.6,8.37,400.3
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S LOFAT GRANOLA W/RAISINS",vegetarian,Cereals,5,79.4,8.2,395.4
"CEREALS READY TO EAT,KELLOGG'S MUESLIX RAISIN&ALMOND CRUNCH W/DATES",vegetarian,Cereals,5.9,73.6,8.1,379.9
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S NUTRI-GRAIN ALMOND&RAISIN",vegetarian,Cereals,5.7,77.6,8,393.7
"CEREALS,QUAKER,OATMEAL,MICROWAVE,QUICK 'N HEARTY APPL SPICE",vegetarian,Cereals,4.51,77.43,8.18,383.03
"CEREALS,QKR,OATMEAL,MICRO,QUICK 'N HEARTY,CINN DOUBLE RAISI",vegetarian,Cereals,4.7,74.43,8.39,373.58
"CEREALS READY TO EAT,KRAFT,POST BLUEBY MORNING CRL",vegetarian,Cereals,4.5,78.9,6.6,382.5
"CEREALS READY TO EAT,KRAFT,POST FRUIT&FIBRE DATES,RAISINS&WALNUTS CRL",vegetarian,Cereals,5.6,76.2,7.1,383.6
"POTATOES,SCALLPD,DRY MIX,UNPREP",vegetarian,Other vegetables,4.59,73.93,7.77,368.11
