Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"WHEY,ACID,DRIED",Vegetarian,Milk and Milk Products,0.54,73.45,11.73,345.58
"WHEY,SWEET,DRIED",Vegetarian,Milk and Milk Products,1.07,74.46,12.93,359.19
GARLIC POWDER,Vegetarian,Condiments and Spices,0.76,72.71,16.8,364.88
ONION POWDER,Vegetarian,Condiments and Spices,1.05,80.67,10.12,372.61
"BABYFOOD,CEREAL,BARLEY,DRY",Vegetarian,Miscellaneous,3.4,75.3,11.1,376.2
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S ALL-BRAN",vegetarian,Cereals,3.1,75.9,12.2,380.3
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",vegetarian,Cereals,2.4,79.9,9.4,378.8
"CEREALS READY TO EAT,BRAN CHEX,(WHEAT BRAN,CORN)",vegetarian,Cereals,2.8,79.7,10.3,385.2
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S COMPLETE WHEAT BRAN FLAKES",vegetarian,Cereals,2.2,79.86,10.4,380.84
"CEREALS READY TO EAT,QUAKER,QUAKER OAT LIFE,PLN",vegetarian,Cereals,3.99,78.7,9.83,390.03
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S RAISIN BRAN",vegetarian,Cereals,2.4,77.2,9.2,367.2
"CEREALS READY TO EAT,TASTEEOS,(OAT W/OTHER GRAINS)",vegetarian,Cereals,2.8,79.1,12.8,392.8
"CEREALS READY TO EAT,GENERAL MILLS,TOTAL",vegetarian,Cereals,2.32,79.6,9.96,379.12
"CEREALS READY TO EAT,GENERAL MILLS,WHEAT CHEX",vegetarian,Cereals,2.25,80.69,10.53,385.13
"CEREALS READY TO EAT,GENERAL MILLS,WHEATIES",vegetarian,Cereals,3.09,79.3,10.8,388.21
"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",vegetarian,Cereals,1.65,77.35,9.85,363.65
"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN HAM BITS,DRY",vegetarian,Cereals,1.86,75.26,9.95,357.58
"CEREALS,CRM OF WHEAT,REG,DRY,(WHEAT)",vegetarian,Cereals,1.5,76.5,10.5,361.5
"CEREALS,CRM OF WHEAT,QUICK,DRY,(WHEAT)",vegetarian,Cereals,1.3,75,10.2,352.5
"CEREALS,CRM OF WHEAT,INST,DRY,(WHEAT)",vegetarian,Cereals,1.4,75.5,10.6,357
"CEREALS,CRM OF WHEAT,MIX'N EAT,PLN,DRY,(WHEAT,CORN)",vegetarian,Cereals,1.2,75.6,9.7,352
"CEREALS,FARINA,ENR,DRY,(WHEAT)",vegetarian,Cereals,0.5,78,10.6,358.9
"CEREALS,MALTEX,DRY,(WHEAT)",vegetarian,Cereals,2.1,77.3,11.2,372.9
"CEREALS,MALT-O-MEAL,PLN,DRY,(WHEAT,BARLEY)",vegetarian,Cereals,0.9,77.7,10.5,360.9
"CEREALS,RALSTON,DRY,(WHEAT)",vegetarian,Cereals,2.1,72.1,14.1,363.7
"CEREALS,ROMAN MEAL,PLN,DRY,(WHEAT W/OTHER GRAINS)",vegetarian,Cereals,2.2,72,14.4,365.4
"CEREALS,WHEATENA,DRY,(WHEAT)",vegetarian,Cereals,2.9,75.6,13.1,380.9
"CEREALS,WHL WHEAT HOT NAT CRL,DRY,(WHEAT)",vegetarian,Cereals,2,75.2,11.2,363.6
"CEREALS READY TO EAT,QUAKER,QUAKER PUFFED WHEAT",vegetarian,Cereals,2.15,76.39,16.26,389.95
"CEREALS READY TO EAT,40% BRAN FLAKES,RALSTON PURINA,(WHEAT BRAN)",vegetarian,Cereals,1.4,79.8,11.5,377.8
"CEREALS READY TO EAT,WHEAT,PUFFED,FORT",vegetarian,Cereals,1.2,79.6,14.7,388
"CEREALS,FARINA,UNENR,DRY,(WHEAT)",vegetarian,Cereals,0.5,78,10.6,358.9
"CEREALS,MALT-O-MEAL,CHOC,DRY,(WHEAT,BARLEY)",vegetarian,Cereals,0.9,77.7,10.5,360.9
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",vegetarian,Cereals,2.58,73.44,11.3,362.18
"CEREALS,QUAKER,FARINA,CREAMY WHEAT,ENR,DRY",vegetarian,Cereals,0.95,76.13,10.82,356.35
"CEREALS,QUAKER,SCOTCH BARLEY,REG&QUICK,DRY",vegetarian,Cereals,2.24,76.38,10.74,368.64
"CEREALS READY TO EAT,GENERAL MILLS,FIBER ONE",vegetarian,Cereals,2.81,80.02,9.26,382.41
"CEREALS,READY TO EAT,KELLOGG,KELLOGG'S ALL-BRAN W/EX FIBER",vegetarian,Cereals,3.1,75.6,12.3,379.5
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S NUTRI-GRAIN WHEAT",vegetarian,Cereals,3.3,80,10.1,390.1
"CEREALS,QUAKER,FARINA,ENR CINN FLAVOR,DRY",vegetarian,Cereals,0.79,74.54,12.11,353.71
"CEREALS READY TO EAT,KRAFT,POST BRAN FLAKES",vegetarian,Cereals,2.2,80.4,9.4,379
"CEREALS READY TO EAT,KRAFT,POST THE ORIGINAL SHREDDED WHEAT 'N BRAN",vegetarian,Cereals,1.4,79.9,12.5,382.2
"CEREALS READY TO EAT,KRAFT,POST 100% BRAN CRL",vegetarian,Cereals,2.1,78.2,12.7,382.5
"MUSHROOMS,SHIITAKE,DRIED",vegetarian,Miscellaneous,0.99,75.37,9.58,348.71
"POTATOES,MSHD,DEHYD,GRANULES W/MILK,DRY FORM",vegetarian,Other vegetables,1.1,77.7,10.9,364.3
TOMATO POWDER,vegetarian,fruits,0.44,74.68,12.91,354.32
"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",vegetarian,Leafy Vegetables,2.1,74.65,15.2,378.3
"SHALLOTS,FREEZE-DRIED",vegetarian,Other vegetables,0.5,80.7,12.3,376.5
"FUNGI,CLOUD EARS,DRIED",vegetarian,Miscellaneous,0.73,73,9.25,335.57
