Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
EGGNOG,eggetarian,Beverages-Non Alchoholic,7.48,13.54,3.81,136.72
"MILK,CANNED,EVAP,WO/ VIT A",Vegetarian,Milk and Milk Products,7.56,10.04,6.81,135.44
"MILK,CANNED,EVAP,W/ VIT A",Vegetarian,Milk and Milk Products,7.56,10.04,6.81,135.44
"BABYFOOD,CEREAL,OATMEAL,PREP W/WHL MILK",Vegetarian,Miscellaneous,4.1,15.3,5,118.1
"INFANT FORMULA,CARNATION GOOD START,W/IRON,LIQ CONC, NOT REC",Vegetarian,Miscellaneous,6.5,14.1,3.1,127.3
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,LIQ CONC, NOT REC",Vegetarian,Miscellaneous,6.96,14.31,2.76,130.92
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,LIQ CNC, NOT REC",Vegetarian,Miscellaneous,6.96,14.31,2.76,130.92
"INFANT FORM,MEAD JOHNSON,NUTRAMIGEN,W/IRON,LIQ CNC, NOT REC",Vegetarian,Miscellaneous,6.56,14.44,3.68,131.52
"INFANT FORMULA,MEAD JOHNSON,PROSOBEE,W/IRON,LIQ CNC, NOT REC",Vegetarian,Miscellaneous,6.96,13.13,3.94,130.92
"INFANT FORMULA,MEAD JOHNSON,GERBER,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,6.96,14.31,2.76,130.92
"INFANT FORMULA,MEAD JOHNSON,GERBER,LO IRON,LIQ CONC, NOT REC",Vegetarian,Miscellaneous,6.96,14.31,2.76,130.92
"INFANT FORMULA,ROSS,ISOMIL,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,6.95,13.12,3.12,127.51
"INFANT FORMULA,ROSS,ISOMIL SF,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,6.95,12.86,3.39,127.55
"INFANT FORMULA,ROSS,SIMILAC,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,6.88,13.76,2.64,127.52
"INFANT FORMULA,ROSS,SIMILAC,LO IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,6.88,13.76,2.64,127.52
"CHILD FORMULA,ROSS,PEDIASURE,W/IRON,RTF",Vegetarian,Miscellaneous,4.77,10.5,2.86,96.37
"INFANT FORM,MEAD JOHNSON,GERBER SOY,W/IRON,LIQ CNC,NOT RECON",Vegetarian,Miscellaneous,6.96,13.13,3.94,130.92
"INFANT FORM,MEAD JOHNSON,LACTOFREE,W/IRON,LIQ CONC, NOT REC",Vegetarian,Miscellaneous,7.23,13.65,2.89,131.23
