Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"EGG,YOLK,RAW,FRESH",eggetarian,Poultry products,30.87,1.78,16.76,351.99
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,28.74,0,14.05,314.86
"BEERWURST,BEER SALAMI,BF",Non-vegetarian,Meat products,29.9,1.7,12.4,325.5
"BOLOGNA,BEEF",Non-vegetarian,Meat products,28.5,0.8,12.2,308.5
"BOLOGNA,BEEF AND PORK",Non-vegetarian,Meat products,28.26,2.79,11.69,312.26
"CHEESEFURTER,CHS SMOKIE,PORK,BF",Non-vegetarian,Meat products,28.95,1.5,14.05,322.75
"FRANKFURTER,BEEF",Non-vegetarian,Meat products,28.5,1.8,12,311.7
"FRANKFURTER,BEEF AND PORK",Non-vegetarian,Meat products,29.15,2.55,11.28,317.67
"ITALIAN SAUSAGE,RAW,PORK",Non-vegetarian,Meat products,31.33,0.65,14.25,341.57
"LIVER SAUSAGE,LIVERWURST,PORK",Non-vegetarian,Meat products,28.5,2.2,14.1,321.7
"LUNCHEON MEAT,PORK,CANNED",Non-vegetarian,Meat products,30.3,2.1,12.5,331.1
"PATE,LIVER,NOT SPECIFIED,CANNED",Non-vegetarian,Meat products,28,1.5,14.2,314.8
"POLISH SAUSAGE,PORK",Non-vegetarian,Meat products,28.72,1.63,14.1,321.4
"SMOKED LINK SAUSAGE,PORK&BF",Non-vegetarian,Meat products,30.33,1.43,13.4,332.29
"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",Non-vegetarian,Meat products,29.54,0.26,15.78,330.02
"OSCAR MAYER,BOLOGNA (CHICK,PORK,BF)",Non-vegetarian,Meat products,29.4,2.4,10.9,317.8
"OSCAR MAYER,BOLOGNA (BF)",Non-vegetarian,Meat products,29.2,2.4,11.1,316.8
OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING),Non-vegetarian,Meat products,28.4,2.6,11.8,313.2
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",Non-vegetarian,Meat products,30.2,2.1,14,336.2
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",Non-vegetarian,Meat products,30.6,2.3,14.2,341.4
"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",Non-vegetarian,Meat products,30.5,1,16.3,343.7
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",Non-vegetarian,Meat products,28.2,1.7,13.5,314.6
"OSCAR MAYER,WIENERS (PORK,TURKEY)",Non-vegetarian,Meat products,29.6,2.9,11,322
"OSCAR MAYER,WIENERS (BF FRANKS)",Non-vegetarian,Meat products,29.2,2.6,11.2,318
"OSCAR MAYER,WIENERS (BF FRANKS,BUN LENGTH)",Non-vegetarian,Meat products,29.6,2.8,11.2,322.4
"OSCAR MAYER,WIENERS (CHS HOT DOGS W/TURKEY)",Non-vegetarian,Meat products,28.7,2.8,12,317.5
"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",Non-vegetarian,Meat products,28.7,2.3,10.9,311.1
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,CHITTERLINGS,COOKED,SIMMERED",Non-vegetarian,Meat products,28.75,0,10.25,299.75
"PORK,CURED,HAM,PATTIES,UNHTD",Non-vegetarian,Meat products,28.19,1.69,12.78,311.59
"PORK,CURED,HAM,PATTIES,GRILLED",Non-vegetarian,Meat products,30.85,1.7,13.3,337.65
