Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"EGG,YOLK,RAW,FROZEN",eggetarian,Poultry products,25.6,1.15,15.5,297
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,26.24,0,14.07,292.44
"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW",Non-vegetarian,Meat products,24.73,0,11.39,268.13
"BOCKWURST,RAW,PORK,VEAL,MILK,EGGS",Non-vegetarian,Meat products,27.57,0.48,13.32,303.33
"BRATWURST,COOKED,PORK",Non-vegetarian,Meat products,25.87,2.07,14.08,297.43
"BROTWURST,PORK,BF,NONFAT DRY MILK",Non-vegetarian,Meat products,27.8,2.97,14.27,319.16
"KIELBASA,KOLBASSY,PORK,BF,NONFAT DRY MILK",Non-vegetarian,Meat products,27.15,2.14,13.26,305.95
"KNACKWURST,KNOCKWURST,PORK,BF",Non-vegetarian,Meat products,27.76,1.76,11.88,304.4
"LIVER CHEESE,PORK",Non-vegetarian,Meat products,25.6,2.1,15.2,299.6
"LUNCHEON MEAT,BEEF,LOAVED",Non-vegetarian,Meat products,26.2,2.9,14.4,305
"MORTADELLA,BEEF,PORK",Non-vegetarian,Meat products,25.39,3.05,16.37,306.19
"SMOKED LINK SAUSAGE,PORK&BF,NONFAT DRY MILK",Non-vegetarian,Meat products,27.61,1.92,13.28,309.29
"VIENNA SAUSAGE,CANNED,BF&PORK",Non-vegetarian,Meat products,25.2,2.04,10.29,276.12
"OSCAR MAYER,LIVER CHS (PORK FAT WRAPPED)",Non-vegetarian,Meat products,26,1.6,15.1,300.8
"OSCAR MAYER,SMOKIE LINKS SAUSAGE",Non-vegetarian,Meat products,27.3,1.7,12.4,302.1
"OSCAR MAYER,SMOKIES (BF)",Non-vegetarian,Meat products,26.8,1.7,12.4,297.6
"OSCAR MAYER,SMOKIES (CHS)",Non-vegetarian,Meat products,27.1,1.8,12.9,302.7
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",Non-vegetarian,Meat products,27.1,1.8,12.4,300.7
"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",Non-vegetarian,Meat products,27,1.9,14.6,309
"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",Non-vegetarian,Meat products,26.7,0.9,14.9,303.5
"HORMEL SPAM,LUNCHEON MEAT,PORK W/HAM,MINCED,CANNED",Non-vegetarian,Meat products,27.87,1.46,13.08,308.99
HORMEL WRANGLER BF FRANKS,Non-vegetarian,Meat products,25.69,2.13,12.58,290.05
"PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",Non-vegetarian,Meat products,24.12,0,15.82,280.36
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",Non-vegetarian,Meat products,26.54,0,15.03,298.98
