Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"SAUCE,SWT&SOUR,DEHYD,DRY",vegetarian,Miscellaneous,0.1,96.13,1,389.42
"CEREALS READY TO EAT,CRISP RICE,LO NA,(RICE)",vegetarian,Cereals,0.3,91,5.5,388.7
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S FRSTD KRISPIES",vegetarian,Cereals,0.7,90.4,4.6,386.3
"CEREALS READY TO EAT,FRSTD RICE KRINKLES,(RICE)",vegetarian,Cereals,0.2,91.1,4.8,385.4
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S CORN POPS",vegetarian,Cereals,0.58,91.7,3.7,386.82
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S FRSTD FLAKES",vegetarian,Cereals,0.5,91.2,3.9,384.9
"CEREALS READY TO EAT,SUGAR FRSTD FLAKES,RALSTON PURINA,(CORN)",vegetarian,Cereals,1.4,90.1,5.3,394.2
"CEREALS READY TO EAT,SUGAR SPARKLED FLAKES,(CORN)",vegetarian,Cereals,0.2,91.1,5.2,387
"CEREALS READY TO EAT,MALT-O-MEAL,CORN BURSTS",vegetarian,Cereals,0.45,92.47,3.37,387.41
"CEREALS READY TO EAT,GENERAL MILLS,FRANKENBY",vegetarian,Cereals,1.71,90.9,3.26,392.03
"CEREALS READY TO EAT,GENERAL MILLS,BOO BY",vegetarian,Cereals,1.77,91.1,3.22,393.21
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S DOUBLE DIP CRUNCH",vegetarian,Cereals,0.4,91,3.4,381.2
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S FRUITY MARSHMLLW KRISPIES",vegetarian,Cereals,0.3,90.3,4.6,382.3
"CEREALS READY TO EAT,QUAKER,QUAKER FRSTD FLAKERS",vegetarian,Cereals,0.71,90.24,4.62,385.83
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S COCOA FRSTD FLAKES",vegetarian,Cereals,1.6,90,3.9,390
"CEREALS READY TO EAT,KRAFT,POST GOLDEN CRISP CRL",vegetarian,Cereals,1.4,90.9,5.5,398.2
"APPLES,DEHYD (LO MOIST),SULFURED,UNCOOKED",vegetarian,Fruits,0.58,93.53,1.32,384.62
