Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CINNAMON,GROUND",Vegetarian,Condiments and Spices,3.19,79.85,3.89,363.67
"SOUP,LIPTON,CUP-A-SOUP TOMATO,MIX,DRY",vegetarian,Miscellaneous,3.45,76.79,8.84,373.57
"SAUCE,CUSTOM FOODS,RED LABEL ALLPURP ITALIAN SAU MIX,DRY",Non-vegetarian,Miscellaneous,3.52,75.69,2.86,345.88
"CEREALS READY TO EAT,GENERAL MILLS,CRISPY WHEATIES 'N RAISINS",vegetarian,Cereals,1.38,80.6,8.12,367.3
"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,DRY,(CORN)",vegetarian,Cereals,1.2,79.6,8.8,364.4
"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",vegetarian,Cereals,0.97,78.82,8.43,357.73
"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,DRY,(CORN)",vegetarian,Cereals,1.2,79.6,8.8,364.4
"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,DRY,(CORN)",vegetarian,Cereals,1.2,79.6,8.8,364.4
"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,DRY,(CORN)",vegetarian,Cereals,1.2,79.6,8.8,364.4
"CEREALS READY TO EAT,QUAKER,QUAKER OAT CINN LIFE",vegetarian,Cereals,3.47,80.8,8.71,389.27
"CEREALS READY TO EAT,GENERAL MILLS,TOTAL RAISIN BRAN",vegetarian,Cereals,1.83,77.73,7.27,356.47
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S APPL CINN SQUARES MINI-WHEATS",vegetarian,Cereals,1.8,80.1,7.2,365.4
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S BLUEBY SQUARES MINI-WHEATS",vegetarian,Cereals,1.8,79.6,7.6,365
"CEREALS READY TO EAT,GENERAL MILLS,KABOOM",vegetarian,Cereals,3.8,80.75,8.62,391.68
"CEREALS READY TO EAT,KELLOGG,JUST RIGHT FRUIT&NUT",vegetarian,Cereals,2.9,80.5,7.5,378.1
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S RAISIN SQUARES MINI-WHEATS",vegetarian,Cereals,2.8,78,8,369.2
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S STRAWBY SQUARES MINI-WHEATS",vegetarian,Cereals,2.4,79,8,369.6
"CEREALS,QUAKER,HOMINY GRITS,WHITE,QUICK,DRY",vegetarian,Cereals,1.36,79.16,8.53,363
"CEREALS,QUAKER,HOMINY GRITS,YEL,QUICK,DRY",vegetarian,Cereals,1.66,77.76,8.26,359.02
"CEREALS,QUAKER,HOMINY GRITS,WHITE,REG,DRY",vegetarian,Cereals,1.36,79.16,8.53,363
"CEREALS READY TO EAT,KRAFT,POST RAISIN BRAN CRL",vegetarian,Cereals,1.8,78.1,7.9,360.2
"CURRANTS,ZANTE,DRIED",vegetarian,Fruits,0.27,74.08,4.08,315.07
"DATES,DOMESTICATEDESTIC,NAT&DRY",vegetarian,Fruits,0.45,73.51,1.97,305.97
"JUJUBE,DRIED",vegetarian,Fruits,1.1,73.6,3.7,319.1
"LONGANS,DRIED",vegetarian,Fruits,0.4,74,4.9,319.2
"PERSIMMONS,JAPANESE,DRIED",vegetarian,Fruits,0.59,73.43,1.38,304.55
"RAISINS,GOLDEN SEEDLESS",vegetarian,Fruits,0.46,79.52,3.39,335.78
"RAISINS,SEEDLESS",vegetarian,Fruits,0.46,79.13,3.22,333.54
"RAISINS,SEEDED",vegetarian,Fruits,0.54,78.47,2.52,328.82
"POTATOES,AU GRATIN,DRY MIX,UNPREP",vegetarian,Other vegetables,3.7,74.31,8.9,366.14
"SEAWEED,AGAR,DRIED",vegetarian,Other vegetables,0.3,80.89,6.21,351.1
