Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,18.14,0,22.18,251.98
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,16.17,8.72,21.77,267.49
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKIN,COOKED SIMMERED",Non-vegetarian,Meat products,18.1,0,19.61,241.34
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,19.46,0,26.86,282.58
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,16.82,0,22.78,242.5
"CHICKEN,STEWING,MEAT&SKIN,&GIBLETS&NECK,COOKED,STEWED",Non-vegetarian,Meat products,18.03,0.01,26.53,268.43
"CHICKEN,STEWING,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,18.87,0,26.88,277.35
"CHICKEN,CAPONS,MEAT&SKIN&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,16.9,0.08,18.51,226.46
"CHICKEN,CAPONS,MEAT&SKIN,RAW",Non-vegetarian,Meat products,17.07,0,18.77,228.71
"CHICKEN,CORNISH GAME HENS,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,18.21,0,22.27,252.97
"PORK,FRSH,COMP OF LEG,LOIN,SHLDR,&SPARERIBS,LN&FAT,RAW",Non-vegetarian,Meat products,16.48,0,18.25,221.32
"PORK,FRSH,LEG (HAM),WHL,LN&FAT,COOKED,ROASTED",Non-vegetarian,Meat products,17.61,0,26.83,265.81
"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BONE-IN,LN&FAT,COOKED,BRLD",Non-vegetarian,Meat products,16.09,0,26.65,251.41
"PORK,FRSH,SHLDR,BLADE,BOSTON (STEAKS),LN&FAT,COOKED,BRLD",Non-vegetarian,Meat products,16.61,0,25.58,251.81
"PORK,FRSH,SHLDR,BLADE,BOSTON (ROASTS),LN&FAT,COOKED,ROASTED",Non-vegetarian,Meat products,18.86,0,23.11,262.18
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,FEET,RAW",Non-vegetarian,Meat products,18.83,0,22.07,257.75
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TONGUE,COOKED,BRSD",Non-vegetarian,Meat products,18.6,0,24.1,263.8
"PORK,CURED,HAM,WHL,LN&FAT,UNHTD",Non-vegetarian,Meat products,18.52,0.06,18.49,240.88
"PORK,CURED,HAM,WHL,LN&FAT,ROASTED",Non-vegetarian,Meat products,16.77,0,21.57,237.21
"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,COOKED,PAN-FRIED",Non-vegetarian,Meat products,16.97,0,26.28,257.85
"USDA COMMODITY,PORK,GROUND,FINE/COARSEFROZEN,COOKED",Non-vegetarian,Meat products,18.19,0,23.55,257.91
