Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CARDAMOM,GROUND",Vegetarian,Condiments and Spices,6.7,68.47,10.76,377.22
"GINGER,GROUND",Vegetarian,Condiments and Spices,5.95,70.79,9.12,373.19
POULTRY SEASONING,Vegetarian,Condiments and Spices,7.53,65.59,9.59,368.49
SAFFRON,Vegetarian,Condiments and Spices,5.85,65.37,11.43,359.85
"THYME,GROUND",Vegetarian,Condiments and Spices,7.43,63.94,9.11,359.07
"BABYFOOD,CEREAL,OATMEAL,DRY",Vegetarian,Miscellaneous,7.8,69.2,13.6,401.4
"BABYFOOD,CEREAL,OATMEAL,W/HONEY,DRY",Vegetarian,Miscellaneous,7,69.3,13.5,394.2
"GRAVY,MUSHROOM,DEHYD,DRY",vegetarian,Miscellaneous,4,64.66,10,334.64
"GRAVY,TURKEY,DRY",Non-vegetarian,Miscellaneous,7.19,65.12,10.42,366.87
"SOUP,LIPTON,SOUP SECRETS EX NOODLE,MIX,DRY",Non-vegetarian,Miscellaneous,6.77,65.1,14.06,377.57
"SOUP,LIPTON,SOUP SECRETS SPIRAL PASTA SOUP,MIX,DRY",Non-vegetarian,Miscellaneous,4.88,63.63,12.22,347.32
"SOUP,LIPTON,CUP-A-SOUP HEARTY CHICK NOODLE,MIX,DRY",Non-vegetarian,Miscellaneous,7.29,63.53,16.07,384.01
"SOUP,LIPTON,CUP-A-SOUP CHICK FLAVOR VEG",Non-vegetarian,Miscellaneous,7.4,68.85,9.87,381.48
"SOUP,LIPTON,CUP-A-SOUP RING NOODLE,MIX,DRY",Non-vegetarian,Miscellaneous,7.92,66.68,11.09,382.36
"SOUP,LIPTON,CUP-A-SOUP SPRING VEG,MIX,DRY",vegetarian,Miscellaneous,7.58,63.32,13.26,374.54
"SOUP,LIPTON,KETTLE CREATIONS CHICK W/PASTA&BEAN,MIX,DRY",Non-vegetarian,Miscellaneous,4.29,64.71,15.57,359.73
"SOUP,LIPTON,RECIPE SECRETS SAVORY HERB W/GARLIC,MIX,DRY",vegetarian,Miscellaneous,4.42,67.09,10.54,350.3
"CEREALS,OATS,REG&QUICK&INST,WO/FORT,DRY,(OATS)",vegetarian,Cereals,6.3,67,16,388.7
"CEREALS,OATS,INST,FORT,PLN,DRY,(OATS)",vegetarian,Cereals,6.1,64,15.5,372.9
"CEREALS,OATS,INST,FORT,W/BRAN&RAISINS,DRY,(OATS,WHEAT BRAN)",vegetarian,Cereals,4.4,71.5,11.4,371.2
"CEREALS,ROMAN MEAL W/OATS,DRY,(WHEAT W/OTHER GRAINS)",vegetarian,Cereals,4,68.5,14.5,368
"CEREALS,QUAKER,OATMEAL,INST,LO NA,DRY",vegetarian,Cereals,7.09,66.07,14.22,384.97
"CEREALS,QUAKER,OATMEAL,MICROWAVE,QUICK 'N HEARTY,REG FLAVOR",vegetarian,Cereals,7.39,65.69,13.24,382.23
"PEPPERS,HOT CHILE,SUN-DRIED",vegetarian,Other vegetables,5.81,69.86,10.58,374.05
