Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,9.12,1.69,30.57,211.12
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,10.85,0,29.02,213.73
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,11.62,2.59,28.99,230.9
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,9.73,0,27.37,197.05
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,8.87,1.64,31.84,213.75
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,11.15,0,27.03,208.47
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,8.08,0,28.62,187.2
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,9.32,0.65,28.38,200
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,8.43,0,27.03,183.99
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,10.3,1.18,28.18,210.14
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,9.15,0,30.15,202.95
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,8.13,0,30.46,195.01
"CHICKEN,STEWING,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,11.89,0,30.42,228.69
"CHICKEN,CAPONS,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,11.67,0.04,28.35,218.59
"CHICKEN,CAPONS,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,11.65,0,28.96,220.69
"TURKEY,ALL CLASSES,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,9.45,0.07,27.98,197.25
"TURKEY,ALL CLASSES,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,9.73,0,28.1,199.97
"TURKEY,ALL CLASSES,LT MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,8.33,0,28.57,189.25
"TURKEY,ALL CLASSES,DK MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,11.54,0,27.49,213.82
"TURKEY,ALL CLASSES,LEG,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,9.82,0,27.87,199.86
