Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,11.07,0,20.27,180.71
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,9.97,0,26.14,194.29
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,8.98,0,25.97,184.7
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,11.19,0,25.31,201.95
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,RAW",Non-vegetarian,Meat products,9.25,0,20.85,166.65
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,8.68,0,19.27,155.2
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,10.64,0,25.32,197.04
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,8.06,0,26.26,177.58
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,11.88,1.77,26.87,221.48
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,COOKED,SIMMERED",Non-vegetarian,Meat products,8.18,0,24.56,171.86
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,10.88,0,25.94,201.68
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,9.79,0,25,188.11
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,8.75,0,23.25,171.75
"CHICKEN,STEWING,GIBLETS,COOKED,SIMMERED",Non-vegetarian,Meat products,9.3,0.11,25.73,187.06
