Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"MILK,CANNED,EVAP,NONFAT",Vegetarian,Milk and Milk Products,0.2,11.35,7.55,77.4
"MILK,CHOC,FLUID,COMMERCIAL,",Vegetarian,Milk and Milk Products,3.39,10.34,3.17,84.55
"MILK,CHOC,FLUID,COMMERCIAL,RED FAT",Vegetarian,Milk and Milk Products,2,10.4,3.21,72.44
"MILK,CHOC,FLUID,COMMERCIAL,LOWFAT",Vegetarian,Milk and Milk Products,1,10.44,3.24,63.72
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",Vegetarian,Milk and Milk Products,2.33,11.79,3.91,83.77
"MILK SHAKES,THICK VANILLA",Vegetarian,Milk and Milk Products,3.03,17.75,3.86,113.71
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.25,13.8,4.93,86.17
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,Vegetarian,Milk and Milk Products,1.3,15.1,4.7,90.9
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),Vegetarian,Milk and Milk Products,0.2,9.9,3.4,55
VANILLA EXTRACT,Vegetarian,Condiments and Spices,0.06,12.65,0.06,51.38
"VANILLA EXTRACT,IMITN,NO ALCOHOL",Vegetarian,Condiments and Spices,0,14.4,0.03,57.72
"HORSERADISH,PREPARED",Vegetarian,Condiments and Spices,0.69,11.29,1.18,56.09
"PEPPERMINT,FRESH",Vegetarian,Condiments and Spices,0.94,14.89,3.75,83.02
"BABYFOOD,DINNER,BF LASAGNA,TODDLER",Non-vegetarian,Miscellaneous,2.1,10,4.2,75.7
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STRAINED",Non-vegetarian,Miscellaneous,1.47,9.45,2.36,60.47
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JUNIOR",Non-vegetarian,Miscellaneous,1.1,9.4,2.5,57.5
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JUNIOR",Non-vegetarian,Miscellaneous,1.37,11.42,2.57,68.29
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODDLER",Non-vegetarian,Miscellaneous,1,10.8,5.3,73.4
"BABYFOOD,DINNER,VEG&BEEF,JUNIOR",Non-vegetarian,Miscellaneous,1.85,9,2.3,61.85
"BABYFOOD,DINNER,CHICKEN NOODLE,STRAINED",Non-vegetarian,Miscellaneous,2.06,9.08,2.69,65.62
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JUNIOR",Non-vegetarian,Miscellaneous,2.2,9.1,1.7,63
"BABYFOOD,DINNER,TURKEY&RICE,JUNIOR",Non-vegetarian,Miscellaneous,0.92,9.57,2.37,56.04
"BABYFOOD,VEG,GREEN BEANS&POTATOES",Vegetarian,Miscellaneous,1.9,9.3,2.2,63.1
"BABYFOOD,VEG,SWT POTATOES,STRAINED",Vegetarian,Miscellaneous,0.1,13.2,1.1,58.1
"BABYFOOD,VEG,SWT POTATOES,JUNIOR",Vegetarian,Miscellaneous,0.1,13.9,1.1,60.9
"BABYFOOD,POTATOES,TODDLERLER",Vegetarian,Miscellaneous,0.1,11.8,1,52.1
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",Vegetarian,Miscellaneous,0.6,9.3,2,50.6
"BABYFOOD,APPLS,DICES,TODDLER",Vegetarian,Miscellaneous,0.1,12.1,0.2,50.1
"BABYFOOD,FRUIT,APPLSAUC,STRAINED",Vegetarian,Miscellaneous,0.2,10.9,0.2,46.2
"BABYFOOD,FRUIT,APPLSAUC,JUNIOR",Vegetarian,Miscellaneous,0,10.3,0,41.2
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STRAINED",Vegetarian,Miscellaneous,0,16.3,0.3,66.4
"BABYFOOD,VEG,CORN,CRMD,STRAINED",Vegetarian,Miscellaneous,0.4,14.1,1.4,65.6
"BABYFOOD,VEG,CORN,CRMD,JUNIOR",Vegetarian,Miscellaneous,0.4,16.3,1.4,74.4
"BABYFOOD,PEAS,DICES,TODDLER",Vegetarian,Miscellaneous,0.8,10.3,3.9,64
