Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"EGG,WHOLE,RAW,FRESH",eggetarian,Poultry products,10.02,1.22,12.49,145.02
"EGG,WHL,COOKED,HARD-BOILED",eggetarian,Poultry products,10.61,1.12,12.58,150.29
"EGG,WHOLE,COOKED,OMELET",eggetarian,Poultry products,11.44,1.04,10.33,148.44
"EGG,WHOLE,COOKED,POACHED",eggetarian,Poultry products,9.98,1.22,12.44,144.46
"EGG,QUAIL,WHOLE,FRESH,RAW",eggetarian,Poultry products,11.09,0.41,13.05,153.65
"EGG,TURKEY,WHL,FRSH,RAW",eggetarian,Poultry products,11.88,1.15,13.68,166.24
"EGG SUBSTITUTE,FROZEN",eggetarian,Poultry products,11.11,3.2,11.29,157.95
"EGG,WHOLE,RAW,FROZEN",eggetarian,Milk and Milk Products,10.2,1.05,11.95,143.8
"BABYFOOD,MEAT,CHICKEN,JUNIOR",Non-vegetarian,Miscellaneous,9.6,0,14.7,145.2
"CHICKEN,HEART,ALL CLASSES,RAW",Non-vegetarian,Meat products,9.33,0.71,15.55,149.01
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,RAW",Non-vegetarian,Meat products,8.78,0,17.55,149.22
"CHICKEN,STEWING,GIBLETS,RAW",Non-vegetarian,Meat products,9.21,2.13,17.89,162.97
"POULTRY FD PRODUCTS,GROUND TURKEY,RAW",Non-vegetarian,Meat products,8.26,0,17.46,144.18
"BARBECUE LOAF,PORK,BEEF",Non-vegetarian,Meat products,8.9,6.4,15.84,169.06
"CHICKEN SPREAD,CANNED",Non-vegetarian,Meat products,11.72,5.39,15.41,188.68
"HAM,SLICED,REG (APPROX 11% FAT)",Non-vegetarian,Meat products,10.57,3.11,17.56,177.81
"LOUIS RICH,TURKEY SALAMI",Non-vegetarian,Meat products,9.4,0.4,15.3,147.4
"LOUIS RICH,TURKEY SALAMI COTTO",Non-vegetarian,Meat products,9.5,0.9,15,149.1
"LOUIS RICH,TURKEY SMOKED SAUSAGE",Non-vegetarian,Meat products,9.6,3.9,14.4,159.6
"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",Non-vegetarian,Meat products,10.1,0.7,17.9,165.3
"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",Non-vegetarian,Meat products,9.1,1.8,17.5,159.1
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",Non-vegetarian,Meat products,9.21,0,10.28,124.01
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,COOKED,BRSD",Non-vegetarian,Meat products,9.51,0,12.14,134.15
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,EARSFROZEN,COOKED,SIMMERED",Non-vegetarian,Meat products,10.8,0.2,15.95,161.8
"PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",Non-vegetarian,Meat products,9.55,0,16.5,151.95
