Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",Vegetarian,Milk and Milk Products,9.97,11.38,1,139.25
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",Vegetarian,Milk and Milk Products,9.97,11.38,1,139.25
"SALAD DRSNG,1000 ISLAND,DIET,LO CAL,10 CAL PER TSP,W/SALT",eggetarian,Fats and Edible Oils,10.7,16.2,0.8,164.3
"SALAD DRSNG,HOME RECIPE,COOKED",Vegetarian,Fats and Edible Oils,9.5,14.9,4.2,161.9
"SALAD DRSNG,HOME RECIPE,COOKED,W/HARD MARGARINE",Vegetarian,Fats and Edible Oils,9.5,14.9,4.2,161.9
"SALAD DRSNG,HOME RECIPE,COOKED,W/SOFT MARGARINE",Vegetarian,Fats and Edible Oils,9.5,14.9,4.2,161.9
"SAUCE,MOLE POBLANO,PREP FROM RECIPE",Non-vegetarian,Miscellaneous,10.95,12.94,3.54,164.47
"SAUCE,TEXAS BEST BARBECUE SAU ORIGINAL RECIPE",Non-vegetarian,Miscellaneous,8.3,12.61,2.02,133.22
"SAUCE,HOMEMADE,WHITE,MED",vegetarian,Miscellaneous,10.63,9.17,3.84,147.71
"POTATO SALAD,HOME-PREPARED",vegetarian,Other vegetables,8.2,11.17,2.68,129.2
