Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"FAT,BEEF TALLOW",Non-vegetarian,Fats and Edible Oils,100,0,0,900
LARD,Non-vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING,HOUSEHOLD,SOYBN (HYDR) -COTTONSEED (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,SOYBN,SALAD OR COOKING,(HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,RICE BRAN",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,WHEAT GERM",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,PNUT,SALAD OR COOKING",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,SOYBN,SALAD OR COOKING",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,COCONUT",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,OLIVE,SALAD OR COOKING",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,PALM",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,SESAME,SALAD OR COOKING",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,SUNFLOWER,LINOLEIC (LESS THAN 60%)",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,COCOA BUTTER",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,CTTNSD,SALAD OR COOKING",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,SUNFLOWER,LINOLEIC,(60%&OVER)",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG SAFFLOWER,SALAD OR COOKING,LINOLEIC,OVER 70%",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG SAFFLOWER,SALAD OR COOKING,OLEIC,OVER 70%",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,PALM KERNEL",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,POPPYSEED",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,TOMATOSEED",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,TEASEED",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,GRAPESEED",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG CORN,SALAD OR COOKING",Vegetarian,Fats and Edible Oils,100,0,0,900
"FAT,MUTTON TALLOW",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,WALNUT",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,ALMOND",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,APRICOT KERNEL",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,SOYBN LECITHIN",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,HAZELNUT",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,BABASSU",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,SHEANUT",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEGETABLE,CUPU ASSU",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,SOYBN,SALAD OR COOKING,(HYDR)&CTTNSD",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING,HOUSEHOLD,LARD&VEG OIL",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,SUNFLOWER,LINOLEIC,(HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING FRYING (REG),SOYBN (HYDR)&CTTNSD (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING INDUSTRIAL,LARD&VEG OIL",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC 30% W/SILICON",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING FRYING (HVY DUTY),PALM (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING,CONFECTIONERY,FRACTIONATED PALM",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,NUTMEG BUTTER",Vegetarian,Fats and Edible Oils,100,0,0,900
"OIL,VEG,UCUHUBA BUTTER",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,AVOCADO",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,CANOLA",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,MUSTARD",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,SUNFLOWER,OLEIC (70%&OVER)",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",Vegetarian,Fats and Edible Oils,100,0,0,900
"VEGETABLE OIL,OAT",Vegetarian,Fats and Edible Oils,100,0,0,900
"FISH OIL,COD LIVER",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"FISH OIL,HING",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"FISH OIL,MENHADEN",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"FISH OIL,MENHADEN,FULLY HYDR",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"FISH OIL,SALMON",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"FISH OIL,SARDINE",Non-vegetarian,Fats and Edible Oils,100,0,0,900
"SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)",Vegetarian,Fats and Edible Oils,100,0,0,900
