Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHEESE,MOZZARELLA,PART SKIM MILK",Vegetarian,Milk and Milk Products,15.92,2.77,24.26,251.4
"CHICKEN,BROILERS OR FRYERS,MEAT&SKIN&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,14.83,0.13,18.33,207.31
"CHICKEN,BROILERS OR FRYERS,MEAT&SKIN&GIBLETS&NECK,ROASTED",Non-vegetarian,Meat products,13.27,0.06,26.78,226.79
"CHICKEN,BROILERS OR FRYERS,MEAT&SKIN&GIBLETS&NECK,STEWED",Non-vegetarian,Meat products,12.37,0.06,24.49,209.53
"CHICKEN,BROILERS OR FRYERS,MEAT&SKIN,RAW",Non-vegetarian,Meat products,15.06,0,18.6,209.94
"CHICKEN,BROILERS OR FRYERS,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,12.56,0,24.68,211.76
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,15.78,0,25.97,245.9
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,14.66,0,23.5,225.94
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,13.2,8.99,24.84,254.12
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,15.75,8.28,21.95,262.67
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,13.72,1.63,26.96,237.84
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,RAW",Non-vegetarian,Meat products,12.12,0,18.15,181.68
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,14.43,2.5,26.84,247.23
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,13.46,0,25.96,224.98
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,12.92,0,24.17,212.96
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,14.98,3.18,26.75,254.54
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,15.49,0,25.06,239.65
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,14.74,0,23.26,225.7
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,15.97,0,18.33,217.05
"CHICKEN,ROASTING,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,13.07,0.05,23.96,213.67
"CHICKEN,ROASTING,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,13.39,0,23.97,216.39
"QUAIL,MEAT AND SKIN,RAW",Non-vegetarian,Meat products,12.05,0,19.63,186.97
"TURKEY,ALL CLASSES,BACK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,13.11,0,18.11,190.43
"TURKEY,ALL CLASSES,BACK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,14.38,0,26.59,235.78
"TURKEY,ALL CLASSES,WING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,12.32,0,20.22,191.76
"TURKEY,YOUNG HEN,BACK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,15.64,0,26.41,246.4
"TURKEY,YOUNG HEN,WING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,13.87,0,19.93,204.55
"TURKEY,YOUNG TOM,BACK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,13.65,0,26.8,230.05
"LEBANON BOLOGNA,BEEF",Non-vegetarian,Meat products,13.2,2.7,19.3,206.8
"PORK,FRSH,LEG (HAM),RUMP HALF,LN&FAT,RAW",Non-vegetarian,Meat products,15.69,0,18.74,216.17
"PORK,FRSH,LOIN,WHL,LN&FAT,RAW",Non-vegetarian,Meat products,12.58,0,19.74,192.18
"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,COOKED,BRSD",Non-vegetarian,Meat products,13.07,0,25.03,217.75
"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,COOKED,BRLD",Non-vegetarian,Meat products,13.89,0,25.36,226.45
"PORK,FRSH,LOIN,BLADE (ROASTS),BONE-IN,LN,COOKED,ROASTED",Non-vegetarian,Meat products,14.81,0,26.6,239.69
"PORK,FRSH,LOIN,CNTR LOIN CHOPS OR ROASTS,BONE-IN,LN&FAT,RAW",Non-vegetarian,Meat products,12.69,0,20.12,194.69
"PORK,FRSH,LOIN,CNTR LOIN (ROASTS),BONE-IN,LN&FAT,COOKED,ROASTED",Non-vegetarian,Meat products,13.46,0,26.31,226.38
"PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",Non-vegetarian,Meat products,13.6,0,20.17,203.08
"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,COOKED,BRSD",Non-vegetarian,Meat products,15.07,0,26.67,242.31
"PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",Non-vegetarian,Meat products,13.63,0,19.19,199.43
"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BONE-IN,LN&FAT,COOKED,BRSD",Non-vegetarian,Meat products,15.11,0,25.36,237.43
"PORK,FRSH,SHLDR,WHL,LN,COOKED,ROASTED",Non-vegetarian,Meat products,13.54,0,25.33,223.18
"PORK,FRSH,SHLDR,ARM PICNIC,LN,COOKED,ROASTED",Non-vegetarian,Meat products,12.62,0,26.68,220.3
