Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"SAUCE,NESTLE,CHEF-MATE SWT N' SOUR GLAZE,READT TO SERVE",vegetarian,Miscellaneous,0.07,38.93,0.46,158.19
"SAUCE,RIDG'S,BULLS-EYE ORIGINAL BARBECUE SAU",Non-vegetarian,Miscellaneous,0.2,42.1,1.2,175
"SAUCE,PLUM,READY-TO-SERVE",vegetarian,Miscellaneous,1.04,42.81,0.89,184.16
"SAUCE,HOISIN,READT TO SERVE",vegetarian,Miscellaneous,3.39,44.08,3.31,220.07
"APPLE JUCFROZEN CONC,UNSWTND,UNDIL,WO/ VIT C",vegetarian,Fruits,0.37,41,0.51,169.37
"CRANBY SAU,CANNED,SWTND",vegetarian,Fruits,0.15,38.9,0.2,157.75
"GRAPE JUCFROZEN CONC,SWTND,UNDIL,W/ VIT C",vegetarian,Fruits,0.31,44.37,0.65,182.87
"ORANGE JUCFROZEN CONC,UNSWTND,UNDIL",vegetarian,Fruits,0.21,38.17,2.39,164.13
"TANGERINE JUCFROZEN CONC,SWTND,UNDIL",vegetarian,Fruits,0.39,38.85,1.5,164.91
"PEARS,DRIED,SULFURED,STEWED,W/ SUGAR",vegetarian,Fruits,0.29,37.14,0.86,154.61
"PINEAPPLE JUCFROZEN CONC,UNSWTND,UNDIL",vegetarian,Fruits,0.1,44.3,1.3,183.3
"APPLE JUCFROZEN CONC,UNSWTND,UNDIL,W/ VIT C",vegetarian,Fruits,0.37,41,0.51,169.37
"CASSAVA,RAW",vegetarian,Leafy Vegetables,0.28,38.05,1.36,160.16
