Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",Vegetarian,Milk and Milk Products,3.46,4.74,3.33,63.42
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",Vegetarian,Milk and Milk Products,3.4,4.74,3.33,62.88
"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",Vegetarian,Beverages-Non Alchoholic,3.41,6.16,1.75,62.33
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",Vegetarian,Beverages-Non Alchoholic,3.41,6.16,1.75,62.33
"MILK,FLUID,3.25% MILKFAT",Vegetarian,Milk and Milk Products,3.34,4.66,3.29,61.86
"MILK,PRODUCER,FLUID,3.7% MILKFAT",Vegetarian,Milk and Milk Products,3.66,4.65,3.28,64.66
"MILK,RED FAT,FLUID,2% MILKFAT,W/ VIT A",Vegetarian,Milk and Milk Products,1.92,4.8,3.33,49.8
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",Vegetarian,Milk and Milk Products,1.92,4.97,3.48,51.08
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",Vegetarian,Milk and Milk Products,1.98,5.49,3.95,55.58
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",Vegetarian,Milk and Milk Products,1.06,4.78,3.29,41.82
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",Vegetarian,Milk and Milk Products,0.97,4.97,3.48,42.53
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",Vegetarian,Milk and Milk Products,1.17,5.52,3.93,48.33
"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",Vegetarian,Milk and Milk Products,0.18,4.85,3.41,34.66
"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",Vegetarian,Milk and Milk Products,0.25,5.02,3.57,36.61
"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",Vegetarian,Milk and Milk Products,0.25,5.56,3.96,40.33
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",Vegetarian,Milk and Milk Products,0.88,4.79,3.31,40.32
"MILK,LOW SODIUM,FLUID",Vegetarian,Milk and Milk Products,3.46,4.46,3.1,61.38
"WHEY,ACID,FLUID",Vegetarian,Milk and Milk Products,0.09,5.12,0.76,24.33
"WHEY,SWEET,FLUID",Vegetarian,Milk and Milk Products,0.36,5.14,0.85,27.2
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,3.25,4.66,3.47,61.77
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.55,7.04,5.25,63.11
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,0.18,7.68,5.73,55.26
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",Vegetarian,Milk and Milk Products,0.18,4.85,3.41,34.66
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",Vegetarian,Milk and Milk Products,1.98,5.49,3.95,55.58
"BASIL,FRESH",Vegetarian,Condiments and Spices,0.61,4.34,2.54,33.01
"DILL WEED,FRESH",Vegetarian,Condiments and Spices,1.12,7.02,3.46,52
"MUSTARD,PREPARED,YELLOW",Vegetarian,Condiments and Spices,3.11,7.78,3.95,74.91
"SALT,TABLE",Vegetarian,Condiments and Spices,0,0,0,0
"VINEGAR,CIDER",Vegetarian,Condiments and Spices,0,5.9,0,23.6
"VANILLA EXTRACT,IMITN,ALCOHOL",Vegetarian,Condiments and Spices,0,2.41,0.05,9.84
"CAPERS,CANNED",Vegetarian,Condiments and Spices,0.86,4.89,2.36,36.74
"SPEARMINT,FRESH",Vegetarian,Condiments and Spices,0.73,8.41,3.29,53.37
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STRAINED",Vegetarian,Miscellaneous,0.9,7.7,2,46.9
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JUNIOR",Vegetarian,Miscellaneous,0.8,8,2.1,47.6
"BABYFOOD,DINNER,BF NOODLE,STRAINED",Non-vegetarian,Miscellaneous,2.26,8.18,2.44,62.82
"BABYFOOD,DINNER,BF&RICE,TODDLER",Non-vegetarian,Miscellaneous,2.9,8.8,5,81.3
"BABYFOOD,DINNER,BF STEW,TODDLER",Non-vegetarian,Miscellaneous,1.2,5.5,5.1,53.2
"BABYFOOD,DINNER,VEG&BEEF,STRAINED",Non-vegetarian,Miscellaneous,2.43,7.7,2.59,63.03
"BABYFOOD,DINNER,VEG&BACON,STRAINED",Non-vegetarian,Miscellaneous,2.95,8.81,1.92,69.47
"BABYFOOD,DINNER,VEG&BACON,JUNIOR",Non-vegetarian,Miscellaneous,3.9,7.6,1.8,72.7
"BABYFOOD,DINNER,VEG&HAM,STRAINED",Non-vegetarian,Miscellaneous,2.14,7.8,2.19,59.22
"BABYFOOD,DINNER,VEG&HAM,JUNIOR",Non-vegetarian,Miscellaneous,1.89,8.65,2.02,59.69
"BABYFOOD,DINNER,VEG&LAMB,STRAINED",Non-vegetarian,Miscellaneous,2,6.9,2,53.6
"BABYFOOD,DINNER,VEG&LAMB,JUNIOR",Non-vegetarian,Miscellaneous,1.7,7.1,2.1,52.1
"BABYFOOD,DINNER,CHICKEN NOODLE,JUNIOR",Non-vegetarian,Miscellaneous,1.18,8.79,2.37,55.26
"BABYFOOD,DINNER,CHICKEN SOUP,STRAINED",Non-vegetarian,Miscellaneous,1.7,7.2,1.6,50.5
"BABYFOOD,DINNER,CHICKEN STEW,TODDLER",Non-vegetarian,Miscellaneous,3.7,6.4,5.2,79.7
"BABYFOOD,DINNER,VEG CHICK,STRAINED",Non-vegetarian,Miscellaneous,1.73,8.42,2.47,59.13
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STRAINED",Non-vegetarian,Miscellaneous,2.5,7.9,2,62.1
"BABYFOOD,DINNER,PASTA W/VEG",Vegetarian,Miscellaneous,2.1,8.4,1.7,59.3
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STRAINED",Non-vegetarian,Miscellaneous,1.2,6.8,1.2,42.8
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JUNIOR",Non-vegetarian,Miscellaneous,1.5,7.6,1.8,51.1
"BABYFOOD,DINNER,TURKEY&RICE,STRAINED",Non-vegetarian,Miscellaneous,1.24,7.94,2.27,52
"BABYFOOD,DINNER,VEG&TURKEY,STRAINED",Non-vegetarian,Miscellaneous,0.9,7.62,2.32,47.86
"BABYFOOD,DINNER,VEG&TURKEY,JUNIOR",Non-vegetarian,Miscellaneous,1.74,7.55,1.72,52.74
"BABYFOOD,DINNER,VEG&TURKEY,TODDLER",Non-vegetarian,Miscellaneous,3.4,8,4.8,81.8
"BABYFOOD,DINNER,MACARONI&CHS,STRAINED",Non-vegetarian,Miscellaneous,2.11,8.95,3.14,67.35
"BABYFOOD,DINNER,MACARONI&CHS,JUNIOR",Non-vegetarian,Miscellaneous,2,8.2,2.6,61.2
"BABYFOOD,VEG,GREEN BEANS,STRAINED",Vegetarian,Miscellaneous,0.1,5.9,1.3,29.7
"BABYFOOD,VEG,GREEN BEANS,JUNIOR",Vegetarian,Miscellaneous,0.1,5.7,1.2,28.5
"BABYFOOD,GREEN BEANS,DICES,TODDLER",Vegetarian,Miscellaneous,0.2,5.7,1.2,29.4
"BABYFOOD,VEG,GREEN BEANS,CRMD,JUNIOR",Vegetarian,Miscellaneous,0.4,7.2,1,36.4
"BABYFOOD,VEG,BEETS,STRAINED",Vegetarian,Miscellaneous,0.1,7.7,1.3,36.9
"BABYFOOD,VEG,CARROTS,STRAINED",Vegetarian,Miscellaneous,0.1,6,0.8,28.1
"BABYFOOD,VEG,CARROTS,JUNIOR",Vegetarian,Miscellaneous,0.2,7.2,0.8,33.8
"BABYFOOD,VEG,SQUASH,STRAINED",Vegetarian,Miscellaneous,0.2,5.6,0.8,27.4
"BABYFOOD,VEG,SQUASH,JUNIOR",Vegetarian,Miscellaneous,0.2,5.6,0.8,27.4
"BABYFOOD,VEG,PEAS,STRAINED",Vegetarian,Miscellaneous,0.3,8.1,3.5,49.1
"BABYFOOD,VEG,PEAS,CRMD,STRAINED",Vegetarian,Miscellaneous,1.9,8.9,2.2,61.5
"BABYFOOD,VEG,SPINACH,CRMD,STRAINED",Vegetarian,Miscellaneous,1.3,5.7,2.5,44.5
"BABYFOOD,CEREAL,W/EGG YOLKS,STRAINED",eggetarian,Miscellaneous,1.8,7,1.9,51.8
"BABYFOOD,CEREAL,W/EGG YOLKS,JUNIOR",eggetarian,Miscellaneous,1.8,7.1,1.9,52.2
"BABYFOOD,CEREAL,W/EGGS,STRAINED",eggetarian,Miscellaneous,1.5,8,2.2,54.3
"BABYFOOD,DINNER,VEG&CHICK,JUNIOR",Vegetarian,Miscellaneous,1.12,8.66,2.04,52.88
"BABYFOOD,DINNER,MXD VEG,JUNIOR",Vegetarian,Miscellaneous,0,7.9,1,35.6
"BABYFOOD,VEG,MIX VEG JR",Vegetarian,Miscellaneous,0.4,8.2,1.4,42
"BABYFOOD,VEG,GARDEN VEG,STRAINED",Vegetarian,Miscellaneous,0.2,6.8,2.3,38.2
"BABYFOOD,DINNER,GREEN BEANS&TURKEY,STRAINED",Vegetarian,Miscellaneous,1.82,5.41,3.8,53.22
"BABYFOOD,DINNER,VEG,TURKEY,&BARLEY",Vegetarian,Miscellaneous,1.1,8.3,2.5,53.1
"BABYFOOD,VEG,MIX VEG STR",Vegetarian,Miscellaneous,0.5,8,1.2,41.3
"BABYFOOD,DINNER,BF NOODLE,JUNIOR",Non-vegetarian,Miscellaneous,1.9,7.4,2.5,56.7
"BABYFOOD,CARROTS&BF,STRAINED",Vegetarian,Miscellaneous,2.5,5.7,3.4,58.9
"BABYFOOD,TURKEY,RICE&VEG,TODDLER",Non-vegetarian,Miscellaneous,1.6,7.5,3.8,59.6
"BABYFOOD,DINNER,BROCCOLI&CHICK,STRAINED",Non-vegetarian,Miscellaneous,1.47,3.22,3.93,41.83
"INFANT FORMULA,CARNATION GOOD START,W/IRON,RTF",Vegetarian,Miscellaneous,3.4,7.3,1.6,66.2
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,RTF",Vegetarian,Miscellaneous,3.48,7.15,1.38,65.44
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",Vegetarian,Miscellaneous,3.48,7.15,1.38,65.44
"INFANT FORMULA,MEAD JOHNSON,LOFENALAC,W/IRON,PREP FROM PDR",Vegetarian,Miscellaneous,2.54,8.45,2.14,65.22
"INFANT FORMULA,MEAD JOHNSON,NUTRAMIGEN,W/IRON,RTF",Vegetarian,Miscellaneous,3.28,7.22,1.84,65.76
"INFANT FORMULA,MEAD JOHNSON,PORTAGEN,W/IRON,PREP FROM PDR",Vegetarian,Miscellaneous,3.11,7.4,2.25,66.59
"INFANT FORMULA,MEAD JOHNSON,PREGESTIMIL,W/IRON,PREP FROM PDR",Vegetarian,Miscellaneous,3.64,6.7,1.82,66.84
"INFANT FORMULA,MEAD JOHNSON,PROSOBEE,W/IRON,RTF",Vegetarian,Miscellaneous,3.48,6.56,1.97,65.44
"INFANT FORMULA,MEAD JOHNSON,GERBER,W/IRON,RTF",Vegetarian,Miscellaneous,3.48,7.15,1.38,65.44
"INFANT FORMULA,MEAD JOHNSON,GERBER,LO IRON,RTF",Vegetarian,Miscellaneous,3.48,7.15,1.38,65.44
"INFANT FORMULA,ROSS,SIMILAC PM 60/40,LO IRON,RTF",Vegetarian,Miscellaneous,3.7,6.7,1.5,66.1
"INFANT FORMULA,ROSS,ISOMIL,W/IRON,RTF",Vegetarian,Miscellaneous,3.58,6.76,1.61,65.7
"INFANT FORMULA,ROSS,ALIMENTUM,RTF",Vegetarian,Miscellaneous,3.63,6.68,1.8,66.59
"INFANT FORMULA,ROSS,ISOMIL SF,W/IRON,RTF",Vegetarian,Miscellaneous,3.6,6.6,1.8,66
"INFANT FORMULA,ROSS,SIMILAC,W/IRON,RTF",Vegetarian,Miscellaneous,3.54,7.09,1.36,65.66
"INFANT FORMULA,ROSS,SIMILAC,LO IRON,RTF",Vegetarian,Miscellaneous,3.54,7.09,1.36,65.66
"INFANT FORMULA,MEAD JOHNSON,GERBER SOY,W/IRON,RTF",Vegetarian,Miscellaneous,3.48,6.56,1.97,65.44
"INFANT FORMULA,MEAD JOHNSON,LACTOFREE,W/IRON,RTF",Vegetarian,Miscellaneous,3.62,6.85,1.44,65.74
"INFANT FORMULA,ROSS,SIMILAC TODDLERS BEST,RTF",Vegetarian,Miscellaneous,3.07,7.18,2.28,65.47
"INFANT FORMULA,WYETH-AYERST,SMA,W/IRON,RTF",Vegetarian,Miscellaneous,3.5,7,1.4,65.1
"INFANT FORMULA,WYETH-AYERST,SMA,LO IRON,RTF",Vegetarian,Miscellaneous,3.5,7,1.4,65.1
"INFANT FORMULA,WYETH-AYERST,NURSOY,W/IRON,RTF",Vegetarian,Miscellaneous,3.5,6.7,1.8,65.5
"INFANT FORMULA,CARNATION FOLLOW-UP,W/IRON,RTF",Vegetarian,Miscellaneous,2.7,8.6,1.7,65.5
"INFANT FORMULA,CARNATION,SOYALAC,W/IRON,RTF",Vegetarian,Miscellaneous,3.6,6.6,2,66.8
"INFANT FORMULA,CARNATION,I-SOYALAC,W/IRON,RTF",Vegetarian,Miscellaneous,3.6,6.6,2,66.8
"TODDLER FORMULA,MEAD JOHNSON NEXT STEP SOY,PREP FROM PDR",Vegetarian,Miscellaneous,2.9,7.8,2.1,65.7
"TODDLER FORMULA,MEAD JOHNSON NEXT STEP SOY,PRP FROM LIQ CONC",Vegetarian,Miscellaneous,3.5,6.6,1.9,65.5
"TURKEY AND GRAVY,FROZEN",Non-vegetarian,Meat products,2.63,4.61,5.88,65.63
"SOUP,CRM OF ASPARAGUS,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,3.26,8.52,1.82,70.7
"SOUP,BF BROTH OR BOUILLON CND,READT TO SERVE",Non-vegetarian,Miscellaneous,0.22,0.04,1.14,6.7
"SOUP,BF NOODLE,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,2.46,7.16,3.85,66.18
"SOUP,CHICKEN BROTH,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,1.04,0.75,4.42,30.04
"SOUP,CHICKEN,CANNED,CHUNKY,READT TO SERVE,COMMERCIAL",Non-vegetarian,Miscellaneous,2.64,6.88,5.06,71.52
"SOUP,CHICKEN GUMBO,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,1.14,6.67,2.1,45.34
"SOUP,CHICKEN NOODLE,CANNED,CHUNKY,READT TO SERVE",Non-vegetarian,Miscellaneous,2.5,7.1,5.3,72.1
"SOUP,CHICKEN NOODLE,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,1.85,7.62,3.23,60.05
"SOUP,CHICKEN NOODLE,W/MEATBALLS,CANNED,CHUNKY,READT TO SERVE",Non-vegetarian,Miscellaneous,1.44,3.37,3.27,39.52
"SOUP,CHICKEN RICE,CANNED,CHUNKY,READT TO SERVE",Non-vegetarian,Miscellaneous,1.33,5.41,5.11,54.05
"SOUP,CHICKEN W/RICE,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,1.56,5.84,2.89,48.96
"SOUP,CHICKEN VEG,CANNED,CHUNKY,READT TO SERVE",Non-vegetarian,Miscellaneous,2.01,7.87,5.13,70.09
"SOUP,CHICKEN VEG,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,2.32,7.01,2.94,60.68
"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CANNED,CHUNKY,READT TO SERVE",vegetarian,Miscellaneous,1.41,7.84,3.02,56.13
"SOUP,CLAM CHOWDER,NEW ENGLAND,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,2,8.69,4.33,70.08
"SOUP,BF BROTH BOUILLON&CONSOMME,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,0,1.44,4.37,23.24
"SOUP,CRAB,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.62,4.22,2.25,31.46
"SOUP,ESCAROLE,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.73,0.72,0.62,11.93
"SOUP,GAZPACHO,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.1,1.8,2.9,19.7
"SOUP,LENTIL W/HAM,CANNED,READT TO SERVE",vegetarian,Miscellaneous,1.12,8.16,3.74,57.68
"SOUP,MINESTRONE,CANNED,CHUNKY,READT TO SERVE",vegetarian,Miscellaneous,1.17,8.64,2.13,53.61
"SOUP,MUSHROOM W/BF STOCK,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,3.21,7.41,2.51,68.57
"SOUP,ONION,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,1.42,6.68,3.06,51.74
"SOUP,OYSTER STEW,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,3.13,3.32,1.72,48.33
"SOUP,PEPPERPOT,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,3.78,7.66,5.19,85.42
"SOUP,SCOTCH BROTH,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,2.14,7.73,4.05,66.38
"SOUP,CAMPBELL'S CHICK NOODLE,CANNED,CONDENSED",Non-vegetarian,Miscellaneous,1.5,6.9,2.6,51.5
"SOUP,STOCKPOT,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,3.04,8.95,3.79,78.32
"SOUP,TURKEY,CHUNKY,READT TO SERVE",Non-vegetarian,Miscellaneous,1.87,5.96,4.33,57.99
"SOUP,TURKEY NOODLE,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,1.59,6.88,3.11,54.27
"SOUP,TURKEY VEG,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,2.47,7.05,2.52,60.51
"SOUP,VEG,CANNED,CHUNKY,READT TO SERVE,COMMERCIAL",vegetarian,Miscellaneous,1.54,7.92,1.46,51.38
"SOUP,BF,CANNED,CHUNKY,READT TO SERVE",Non-vegetarian,Miscellaneous,2.14,8.15,4.89,71.42
"SOUP,VEG BF,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,1.51,8.11,4.45,63.83
"GRAVY,AU JUS,CANNED",vegetarian,Miscellaneous,0.2,2.5,1.2,16.6
"GRAVY,BEEF,CANNED",Non-vegetarian,Miscellaneous,2.36,4.81,3.75,55.48
"GRAVY,MUSHROOM,CANNED",vegetarian,Miscellaneous,2.71,5.47,1.26,51.31
"GRAVY,TURKEY,CANNED",Non-vegetarian,Miscellaneous,2.1,5.1,2.6,49.7
"SAUCE,LA VICTORIA,LA VICTORIA CHUNKY CHILI DIP,SALSA,CANNED",Non-vegetarian,Miscellaneous,0.16,6.54,0.79,30.76
"USDA COMMODITY,SPAGHETTI SAU,MEATLESS,CANNED",Non-vegetarian,Miscellaneous,0.9,8.7,1.2,47.7
"SOUP,BF MUSHROOM,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,2.4,5.2,4.6,60.8
"SAUCE,NESTLE,CONTADINA DELUXE PIZZA SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,1.15,8.67,2.18,53.75
"SAUCE,NESTLE,QUE BUENO ENCHILADA SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,1.98,6.71,1.45,50.46
"SAUCE,NESTLE,QUE BUENO PICANTE SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,0.23,6.66,1.22,33.59
"SAUCE,READT TO SERVE,SALSA",vegetarian,Miscellaneous,0.24,6.24,1.27,32.2
"SAUCE,READT TO SERVE,PEPPER OR HOT",vegetarian,Miscellaneous,0.37,1.75,0.51,12.37
"SAUCE,READT TO SERVE,PEPPER,TABASCO",Non-vegetarian,Miscellaneous,0.76,0.8,1.29,15.2
"SOUP,STOCK,FISH,HOME-PREPARED",Non-vegetarian,Miscellaneous,0.81,0,2.26,16.33
"SAUCE,FISH,READY-TO-SERVE",Non-vegetarian,Miscellaneous,0.01,3.64,5.06,34.89
"SOUP,SHARK FIN,REST-PREP",Non-vegetarian,Miscellaneous,2,3.8,3.2,46
"SOUP,PROGRESSO HEALTHY CLASSICS TOMATO GARDEN,CANNED,READT TO SERVE",vegetarian,Miscellaneous,0.4,7.77,1.42,40.36
"SOUP,PROGRESSO HEALTHY CLASSICS GARLIC&PASTA,CANNED,READT TO SERVE",vegetarian,Miscellaneous,0.53,7.33,1.81,41.33
"SOUP,PROGRESSO HEALTHY CLASSICS BF BARLEY,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.8,8.3,4.7,59.2
"SOUP,PROGRESSO HEALTHY CLASSICS CHICK NOODLE,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.69,3.98,2.42,31.81
"SOUP,CRM OF ASPARAGUS,CANNED,PREP W/EQ VOLUME MILK,COMMERCIAL",vegetarian,Miscellaneous,3.3,6.61,2.55,66.34
"SOUP,PROGRESSO HEALTHY CLASSICS CHICK RICE W/VEG,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.62,5.23,2.62,36.98
"SOUP,PROGRESSO HEALTHY CLASSICS CRM OF BROCCOLI,CANNED,READT TO SERVE",vegetarian,Miscellaneous,1.15,5.46,0.97,36.07
"SOUP,PROGRESSO HEALTHY CLASSICS LENTIL,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.62,8.39,3.22,52.02
"SOUP,PROG HEALTHY CLASSICS NEW ENGLAND CLAM CHOWDER,CANNED,READT TO SERVE",Non-vegetarian,Miscellaneous,0.81,8.11,2.13,48.25
"SOUP,PROGRESSO HEALTHY CLASSICS MINESTRONE,CANNED,READT TO SERVE",vegetarian,Miscellaneous,1.05,8.44,1.98,51.13
"SOUP,PROGRESSO HEALTHY CLASSICS VEG,CANNED,READT TO SERVE",vegetarian,Miscellaneous,0.54,5.56,1.76,34.14
"SOUP,CRM OF CELERY,CANNED,PREP W/EQ VOLUME MILK,COMMERCIAL",vegetarian,Miscellaneous,3.91,5.86,2.29,67.79
"SOUP,CLAM CHOWDER,NEW ENGLAND,CANNED,PREP W/EQ VOLUME MILK,COMMERCIAL",Non-vegetarian,Miscellaneous,2.66,6.7,3.82,66.02
"SOUP,CRM OF ONION,CANNED,PREP W/EQ VOLUME MILK,COMMERCIAL",vegetarian,Miscellaneous,3.78,7.4,2.74,74.58
"SOUP,OYSTER STEW,CANNED,PREP W/EQ VOLUME MILK,COMMERCIAL",Non-vegetarian,Miscellaneous,3.24,3.99,2.51,55.16
