Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"SAUCE,SPAGHETTI,DEHYD,DRY",vegetarian,Miscellaneous,1,64.26,6,290.04
"SOUP,LIPTON,RECIPE SECRETS VEG,MIX,DRY",vegetarian,Miscellaneous,2.32,64.71,8.11,312.16
"APPLES,DRIED,SULFURED,UNCOOKED",vegetarian,Fruits,0.32,65.89,0.93,270.16
"FIGS,DRIED,UNCOOKED",vegetarian,Fruits,1.17,65.35,3.05,284.13
"LITCHIS,DRIED",vegetarian,Fruits,1.2,70.7,3.8,308.8
"FRUIT,MXD,(PRUNE&APRICOT&PEAR),DRIED",vegetarian,Fruits,0.49,64.06,2.46,270.49
"PEARS,DRIED,SULFURED,UNCOOKED",vegetarian,Fruits,0.63,69.7,1.87,291.95
PRUNE PUREE,vegetarian,Fruits,0.2,65.1,2.1,270.6
"KANPYO,(DRIED GOURD STRIPS)",vegetarian,Other vegetables,0.56,65.04,8.58,299.52
"RADISHES,ORIENTAL,DRIED",vegetarian,Other vegetables,0.72,63.37,7.9,291.56
