Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28,56,11.1,520.4
"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28,56,11.1,520.4
"INFANT FORMULA,MEAD JOHNSON,GERBER,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28,57,10.9,523.6
"INFANT FORMULA,MEAD JOHNSON,GERBER,LO IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28,57,10.9,523.6
"INFANT FORMULA,ROSS,SIMILAC PM 60/40,LO IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,29.99,54.72,11.91,536.43
"INFANT FORMULA,ROSS,SIMILAC,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28.76,55.32,10.84,523.48
"INFANT FORMULA,ROSS,SIMILAC,LO IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28.76,55.32,10.84,523.48
"INFANT FORMULA,MEAD JOHNSON,LACTOFREE,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,29,55,11.6,527.4
"INFANT FORMULA,WYETH-AYERST,SMA,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28,56,12,524
"INFANT FORMULA,WYETH-AYERST,SMA,LO IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,28,56,12,524
